model,total,emergency,adjustment
q3_A,14643207.454308089,1269700.4294400022,0.0
q3_B,14265453.540398031,557459.2246670213,389089.8942997719
q3_C,14083138.946128909,383000.39912446175,383298.58761829865
q3_D,13968861.901095472,144776.160857257,453886.7000513502
