stage,weight,cost,emergency
1月验证,0.0,936469.2554870495,17593.677860147334
1月验证,0.1,936469.2554870495,17593.677860147334
1月验证,0.3,936469.2554870495,17593.677860147334
1月验证,1.0,936469.2554870495,17593.677860147334
四季24日,0.0,1022316.9255421349,6535.543268611706
四季24日,0.1,1022316.9255421349,6535.543268611715
四季24日,0.3,1022316.9255421349,6535.543268611715
四季24日,1.0,1022316.9255421349,6535.543268611715
