时刻,实际,预测
0.0,0.0,1.0
0.16666666666666666,0.0,1.0
0.3333333333333333,0.0,1.0
0.5,0.0,1.0
0.6666666666666666,0.0,1.0
0.8333333333333334,0.0,1.0
1.0,0.0,1.0
1.1666666666666667,0.0,1.0
1.3333333333333333,0.0,1.0
1.5,0.0,1.0
1.6666666666666667,0.0,1.0
1.8333333333333333,0.0,1.0
2.0,0.0,1.0
2.1666666666666665,0.0,1.0
2.3333333333333335,0.0,1.0
2.5,0.0,1.0
2.6666666666666665,0.0,1.0
2.8333333333333335,0.0,1.0
3.0,0.0012,1.0
3.1666666666666665,0.0,1.0
3.3333333333333335,0.0,1.0
3.5,0.0162,1.0
3.6666666666666665,0.0,1.0
3.8333333333333335,0.0,1.0
4.0,0.2263,1.0
4.166666666666667,0.0,1.0
4.333333333333333,0.0,1.0
4.5,3.1516,5.8944600000000005
4.666666666666667,0.0,1.0
4.833333333333333,7.275,11.35875
5.0,116.7655,139.32145803773366
5.166666666666667,263.9703,309.0745259321818
5.333333333333333,417.075,480.6697182721847
5.5,587.5961,665.5480138613043
5.666666666666667,735.8325,864.8173986315796
5.833333333333333,890.7,1071.047452413631
6.0,1136.9554,1272.8103877758601
6.166666666666667,1453.4028,1464.8224952716394
6.333333333333333,1765.9125,1662.1533364705463
6.5,2022.3026,1893.1200480844143
6.666666666666667,2350.4923,2162.951449201518
6.833333333333333,2699.25,2447.124548511726
7.0,2874.6231,2702.3382867396945
7.166666666666667,3006.0287,2907.52361479081
7.333333333333333,3224.8875,3098.615230088252
7.5,3537.527,3338.820390789881
7.666666666666667,3785.3986,3597.041009806135
7.833333333333333,4003.425,3848.586256771464
8.0,4334.7324,4094.5325916040715
8.166666666666666,4441.8035,4317.883467834431
8.333333333333334,4358.7,4520.46705745383
8.5,4479.895,4712.866757544759
8.666666666666666,4668.5166,4850.956395583198
8.833333333333334,4746.075,4990.0702616992485
9.0,4746.9534,5242.5785878006345
9.166666666666666,5139.4381,5499.829855461486
9.333333333333334,5794.3125,5697.328963539298
9.5,6109.068,5856.115763790353
9.666666666666666,6385.1018,5942.302050479456
9.833333333333334,6643.5375,6033.765667514851
10.0,6589.8893,6248.945189469896
10.166666666666666,6695.6004,6374.807479658689
10.333333333333334,7000.9875,6403.029354666189
10.5,7093.8409,6540.4655852724545
10.666666666666666,7243.1188,6702.977595422804
10.833333333333334,7400.1,6825.420249675245
11.0,7306.5816,6905.479567496249
11.166666666666666,7782.8954,6822.171030023583
11.333333333333334,8490.225,6643.860553989161
11.5,8180.7164,6584.754744776794
11.666666666666666,7677.6706,6567.923742069812
11.833333333333334,7665.1125,6571.962156267655
12.0,8044.2631,6665.342032680064
12.166666666666666,8300.9755,6752.52038742836
12.333333333333334,8383.0125,6681.425447052356
12.5,8605.7877,6384.69484079521
12.666666666666666,8542.7209,6178.590542365196
12.833333333333334,8049.6,6212.319328331256
13.0,7493.4162,6324.265991819618
13.166666666666666,7354.9231,6182.459547377842
13.333333333333334,7340.8875,5880.874480196373
13.5,6714.7449,5823.330525552772
13.666666666666666,6127.755,5801.538032867157
13.833333333333334,5956.2,5701.20714917373
14.0,5941.7978,5618.332806234868
14.166666666666666,5827.294,5486.351590601312
14.333333333333334,5738.1375,5306.284664635507
14.5,5964.2607,5169.704674685498
14.666666666666666,5979.2451,5084.789696931791
14.833333333333334,5680.4625,5000.788696790921
15.0,5457.1539,4855.150307828107
15.166666666666666,5153.0688,4682.4481259203085
15.333333333333334,4811.1,4471.040070565263
15.5,4680.9532,4167.333351442199
15.666666666666666,4481.2341,3832.772495616827
15.833333333333334,4055.4,3540.9188329791828
16.0,3562.8565,3324.359863695491
16.166666666666668,3361.4888,3124.814209493239
16.333333333333332,3406.575,2937.437826508959
16.5,3291.2298,2795.321186397799
16.666666666666668,2964.175,2586.1225439694113
16.833333333333332,2623.6125,2312.3627256498294
17.0,2479.2426,2091.8051215675173
17.166666666666668,2185.8548,1895.8714313193097
17.333333333333332,1750.4625,1678.3902060271582
17.5,1528.3871,1433.6470658011772
17.666666666666668,1310.4274,1231.0980209276847
17.833333333333332,1034.1,1067.631389663415
18.0,860.3286,871.1108624094629
18.166666666666668,677.2547,657.6164854118454
18.333333333333332,452.7,461.3020979753379
18.5,276.0564,298.60053469637205
18.666666666666668,121.8367,138.3605720190164
18.833333333333332,7.7625,9.79875
19.0,0.0,1.0
19.166666666666668,3.2619,6.31072
19.333333333333332,0.0,1.0
19.5,0.0,1.0
19.666666666666668,0.2342,1.0
19.833333333333332,0.0,1.0
20.0,0.0,1.0
20.166666666666668,0.0168,1.0
20.333333333333332,0.0,1.0
20.5,0.0,1.0
20.666666666666668,0.0012,1.0
20.833333333333332,0.0,1.0
21.0,0.0,1.0
21.166666666666668,0.0,1.0
21.333333333333332,0.0,1.0
21.5,0.0,1.0
21.666666666666668,0.0,1.0
21.833333333333332,0.0,1.0
22.0,0.0,1.0
22.166666666666668,0.0,1.0
22.333333333333332,0.0,1.0
22.5,0.0,1.0
22.666666666666668,0.0,1.0
22.833333333333332,0.0,1.0
23.0,0.0,1.0
23.166666666666668,0.0,1.0
23.333333333333332,0.0,1.0
23.5,0.0,1.0
23.666666666666668,0.0,1.0
23.833333333333332,0.0,1.0
