method,variable,period,MAE,RMSE,nMAE,MAPE
mean,L,1月滚动验证,831.8330539773708,1023.9912375350035,0.1799002641797029,20.372221829211192
mean,L,2月至12月外样本,803.6452398617248,1028.2416720433412,0.1740706443468066,19.609879338839715
mean,PV,1月滚动验证,133.3381520016456,263.1985081711437,0.0801457374311024,11.769855845587943
mean,PV,2月至12月外样本,483.32979112725644,772.9738260869731,0.20317761583592892,36.64758685424811
ma7,L,1月滚动验证,813.4364802447092,998.3477809617461,0.17592164315871467,19.887030233825218
ma7,L,2月至12月外样本,781.2110842648036,955.9245199188664,0.16921137594523616,19.069062290525824
ma7,PV,1月滚动验证,99.02390666666666,209.46895412256953,0.05952042910427249,7.055703219250761
ma7,PV,2月至12月外样本,153.39970672494297,303.85773925555964,0.06448472089753418,7.753654381580795
ma14,L,1月滚动验证,810.6336943617724,998.4059052424165,0.17531548556691356,19.865056837772705
ma14,L,2月至12月外样本,782.6703834450149,959.8275813218374,0.16952746211858033,19.109362026340847
ma14,PV,1月滚动验证,110.97724435846561,227.29801867504685,0.06670523742575271,9.087117901437674
ma14,PV,2月至12月外样本,171.48326937078224,327.22090089327236,0.07208651828650148,9.933792489761041
ma30,L,1月滚动验证,831.8330539773708,1023.9912375350035,0.1799002641797029,20.372221829211192
ma30,L,2月至12月外样本,789.757036280356,973.506509451757,0.1710624406938559,19.296459733854494
ma30,PV,1月滚动验证,133.3381520016456,263.1985081711437,0.0801457374311024,11.769855845587943
ma30,PV,2月至12月外样本,225.64731342010424,400.0816729100265,0.09485548791344503,15.326264798499695
ewma,L,1月滚动验证,884.4156777970252,1104.3439944322843,0.19127229114014524,21.678544832603638
ewma,L,2月至12月外样本,838.1891836934592,1039.7683469904316,0.18155290923535933,20.45351357667227
ewma,PV,1月滚动验证,101.02610026016548,212.2212414670518,0.06072389022640362,7.412153463815543
ewma,PV,2月至12月外样本,154.72628407397056,303.8252980789962,0.06504237496303003,8.165183199964705
ridge,L,1月滚动验证,144.38097342782498,180.11119689760895,0.03122522618931055,3.449937775893096
ridge,L,2月至12月外样本,180.3213677694709,242.309163446448,0.03905785179854984,4.205114203850392
ridge,PV,1月滚动验证,102.75224124746912,214.30251413898446,0.06176142404744978,6.892972163328251
ridge,PV,2月至12月外样本,150.4560446169065,302.7679865829807,0.06324729200339853,7.214430940401087
